UGAU5451257: 45.432.058/6423-86<->58.505.242/5161-22
WQJJ2775863: 5276kg (27%)
VEGJ4443650: 3618kg (27%)
QOYU4401101: 5039kg (27%)
PPPU4185760: 4572kg (27%)
PGJU8758454: 6087kg (27%)
GPYZ5488416: 3963kg (27%)
MCPJ4466023: 6593kg (27%)
OFZU9519188: 6681kg (27%)
FOOZ7746386: 7832kg (27%)
VXDU0324329: 2727kg (27%)
HEQJ7886620: 4961kg (27%)
FRGJ5503197: 3177kg (27%)
JLJU0121550: 5117kg (27%)
JYSZ5720946: 6431kg (27%)
JUGZ4624772: 4810kg (27%)
ADXZ8667789: 6083kg (27%)
DBLU8417636: 3765kg (27%)
KZOJ1157554: 3868kg (27%)
RHFZ3042309: 5630kg (27%)
QJLU8248030: 5915kg (27%)
IPSU0373303: 6780kg (27%)
TDZU1327247: 7646kg (26%)
UEHU1856031: 5028kg (26%)
SWDU7929458: 7428kg (26%)
BFRU6590444: 6194kg (26%)
YIZU6223089: 4301kg (26%)
ISCJ3467479: 4703kg (26%)
ESXZ3846740: 3551kg (26%)
FCTJ8266738: 5053kg (26%)
HEYU8887324: 6568kg (26%)
ZSZJ1752772: 6110kg (26%)
LINZ0377510: 4751kg (26%)
EASU4064648: 7653kg (26%)
BDMJ8668441: 6349kg (26%)
DLQJ4071839: 6528kg (26%)
SMHJ4584216: 5238kg (26%)
IVTJ8372952: 6748kg (26%)
SOYJ8109386: 5299kg (26%)
QGMU7882007: 7481kg (26%)
NUHZ7373043: 7502kg (26%)
QWUJ2693570: 4782kg (26%)
FHFU4576285: 5652kg (26%)
DWPJ7584733: 4306kg (26%)
JADJ2478131: 3671kg (26%)
KOFJ9782450: 7212kg (26%)
WVFU4023800: 5242kg (26%)
QHEU4664476: 5027kg (26%)
JDYZ9894135: 5798kg (26%)
JFGZ3814088: 4685kg (25%)
UBOZ3724554: 6949kg (25%)
HEFZ3433906: 3722kg (25%)
DHNU8151096: 5186kg (25%)
UWYU3462814: 6015kg (25%)
RHDZ8995358: 7326kg (25%)
RQFU6324524: 7243kg (25%)
VVGU1708753: 5521kg (25%)
CEGJ7735383: 5915kg (25%)
ZOFJ9093028: 6989kg (25%)
VTMU5421688: 4515kg (25%)
URAJ4061627: 6522kg (25%)
EKFJ3677289: 4829kg (25%)
NKKJ9227205: 5784kg (25%)
NRBJ7404897: 4551kg (25%)
DXWZ5490348: 7075kg (25%)
CHWZ0888876: 3527kg (25%)
KFTU2114981: 3987kg (25%)
BWQU5268822: 6737kg (25%)
BDHU8731573: 5359kg (25%)
AVPJ1944450: 4925kg (25%)
QETU7562020: 6430kg (25%)
JTTZ1211123: 5682kg (24%)
RTAU6105880: 3809kg (24%)
MFJU3692513: 4781kg (24%)
GWLJ1382534: 5227kg (24%)
JWVU6140266: 3680kg (24%)
LLXZ0819316: 4635kg (24%)
HTRU5821883: 2738kg (24%)
DDYJ4944287: 4827kg (24%)
WULZ5104210: 5453kg (24%)
HVOJ8907268: 3039kg (24%)
OIPZ0729964: 5379kg (24%)
SWYU2671901: 4786kg (24%)
IPYZ7570547: 2472kg (24%)
NGNZ9695954: 6127kg (24%)
UQGU8075200: 4306kg (24%)
MDDZ5796460: 6438kg (24%)
ITYZ7785367: 5349kg (24%)
SMSU5454142: 4381kg (24%)
DMYZ3543362: 5675kg (24%)
OBJZ2445093: 4054kg (24%)
TNYU9920954: 5311kg (24%)
TFMJ3719596: 2647kg (24%)
LLZU0965735: 3961kg (24%)
KGIJ3316408: 6078kg (24%)
FOEZ0150381: 2764kg (23%)
IZFZ2168743: 4368kg (23%)
BGKU4399784: 5579kg (23%)
UWIJ7744420: 5046kg (23%)
UYZJ6139578: 4660kg (23%)
FSHZ6100704: 5242kg (23%)
AQHZ7069672: 4561kg (23%)
BDFU8659980: 6498kg (23%)
OGCJ0180179: 5699kg (23%)
NDLU3634696: 4151kg (23%)
IVCU8958211: 4415kg (23%)
YLJZ5342111: 4455kg (23%)
XVGU2035130: 2514kg (23%)
DNJU8993153: 4544kg (23%)
CGNJ9244974: 5165kg (23%)
YBKU6288424: 4320kg (23%)
VKIU9003507: 5026kg (23%)
TLFJ0019053: 2379kg (23%)
VTJZ5427665: 5046kg (23%)
JOHU9848744: 6778kg (23%)
NBYZ8307340: 5704kg (23%)
OEDZ7767117: 5088kg (23%)
JHGZ7362508: 4213kg (23%)
UZXJ0593580: 5612kg (23%)
RXOZ0685600: 3593kg (23%)
SPKU1054629: 6291kg (23%)
KXUZ5524960: 2805kg (23%)
ELKU8654348: 2650kg (23%)
VZXU3799306: 3861kg (23%)
MCLU1734196: 2908kg (23%)
ITJU0724327: 4310kg (23%)
XLXU2115054: 3559kg (22%)
NOLU6920331: 5050kg (22%)
BQFJ3940110: 5106kg (22%)
PHPJ3149199: 5517kg (22%)
CFFJ9186370: 4759kg (22%)
MVZJ4990270: 5145kg (22%)
YJYU4226950: 6460kg (22%)
JRRJ4226558: 5159kg (22%)
LVOZ9218355: 6317kg (22%)
DKXZ2876777: 3268kg (22%)
TZXJ4449715: 3533kg (22%)
JMVU7436046: 5215kg (22%)
MSJU7923319: 5307kg (22%)
DPOZ3738917: 4649kg (22%)
MKHU7184390: 4938kg (22%)
KSWU8194742: 4093kg (22%)
DTNJ8683060: 4624kg (22%)
ZSIZ8371813: 3452kg (22%)
PPQU0140042: 6243kg (22%)
UKMU3696343: 2701kg (22%)
EHYU1145361: 5020kg (22%)
FHWU9268780: 3971kg (22%)
KPZZ8603441: 6407kg (22%)
AATJ1124996: 5091kg (22%)
WNOJ6402081: 4217kg (22%)
ZMTU9942452: 5842kg (21%)
BYOJ4002663: 4292kg (21%)
RABZ4923958: 2726kg (21%)
VPGJ4610281: 5610kg (21%)
ATUU2935652: 4436kg (21%)
HWUU4129637: 3477kg (21%)
RDIU2471299: 3056kg (21%)
YGVZ2424078: 4156kg (21%)
EBHU1302888: 5605kg (21%)
GRJZ9519795: 4961kg (21%)
KEQJ8255813: 5043kg (21%)
GHEJ5562357: 3494kg (21%)
QOEZ2751445: 3239kg (21%)
QUMU3824765: 3777kg (21%)
COUU6515798: 3672kg (21%)
OPPU6185824: 3721kg (21%)
WKLJ1510937: 3186kg (21%)
VQGZ3921292: 5038kg (21%)
NXJJ6670341: 3368kg (21%)
GUOJ8785533: 5103kg (21%)
ORGJ1662366: 2686kg (21%)
VSRU9094749: 6027kg (21%)
OBDJ7837737: 3310kg (21%)
ISFZ1194492: 3067kg (21%)
LSTZ9748751: 5609kg (21%)
SQPU7109265: 3151kg (21%)
MVTZ1887727: 5607kg (21%)
EMNZ6982332: 5128kg (21%)
VMSJ6744925: 4733kg (20%)
WCBJ8806792: 4990kg (20%)
IAUZ6648882: 3479kg (20%)
RLQU9126773: 4983kg (20%)
UCPJ9049409: 4121kg (20%)
AHEU5109500: 2533kg (20%)
KAYJ7751438: 5259kg (20%)
NDOZ9076320: 3823kg (20%)
RVFJ7111662: 5876kg (20%)
HKOU8507749: 4184kg (20%)
RJOJ5658422: 3255kg (20%)
HFIZ8481996: 5180kg (20%)
MCTU4496550: 3467kg (20%)
TYPZ2664764: 4034kg (20%)
KRIJ6645304: 2723kg (20%)
VYZJ9582955: 2966kg (20%)
RXSZ1200976: 3009kg (20%)
HMVU4206366: 5318kg (20%)
JYYU1734106: 4595kg (20%)
ETTZ4642087: 5384kg (20%)
JGTU3587038: 3282kg (20%)
HIMZ9880590: 4777kg (20%)
YUGJ3541532: 3370kg (20%)
YGTU0253104: 5095kg (20%)
GKMJ6304780: 2896kg (20%)
GLEJ9565068: 4036kg (20%)
KFAJ0145631: 4411kg (20%)
YVYZ3551836: 2210kg (20%)
PFNU7939176: 5209kg (20%)
WHRZ8157473: 4218kg (20%)
QTKU0177375: 3854kg (19%)
NKRZ8803457: 4109kg (19%)
HUAJ9679486: 4708kg (19%)
ICNZ2091129: 4450kg (19%)
QYUZ9051291: 4480kg (19%)
DOHZ2688615: 4298kg (19%)
WWZU0358079: 3528kg (19%)
OMSU1367077: 3619kg (19%)
EJSZ0754439: 3041kg (19%)
XNWU8804252: 4682kg (19%)
FEUU4552414: 3775kg (19%)
KFMU5119135: 3407kg (19%)
WNOU1641938: 3611kg (19%)
WLNU4833121: 4146kg (19%)
PNEJ7978427: 3916kg (19%)
LYJU3315611: 2832kg (19%)
VMNZ8094425: 5018kg (19%)
JQJU1881486: 3812kg (19%)
SPTU1053952: 3858kg (19%)
EKEU3736580: 3021kg (19%)
IMBZ6048395: 4177kg (19%)
MYVZ6965656: 4641kg (19%)
FLDJ2744282: 3695kg (19%)
MEMU4961170: 3210kg (19%)
VDXJ4392812: 3623kg (18%)
YDLU5354604: 3749kg (18%)
JKDU6111238: 4094kg (18%)
XYYZ1869567: 4052kg (18%)
PPPJ7210624: 5233kg (18%)
ZTLJ6761433: 3389kg (18%)
PCYZ4931466: 4517kg (18%)
LQOU1645776: 4632kg (18%)
NEWJ3821598: 4766kg (18%)
UWXU1055449: 3229kg (18%)
GPDU4094931: 1883kg (18%)
TTJZ4386738: 4130kg (18%)
NOYJ1381894: 5073kg (18%)
GZPU9156083: 2476kg (18%)
DBGJ5546682: 4553kg (18%)
EFBU1909572: 3013kg (18%)
TLLJ3520495: 3597kg (18%)
PMGJ1798015: 4478kg (17%)
WTOJ1679149: 2770kg (17%)
QINJ3335547: 3946kg (17%)
QZHJ0919592: 3393kg (17%)
ADTJ9289842: 4198kg (17%)
QDKU5836557: 3563kg (17%)
NMTZ7465697: 3503kg (17%)
FZCZ4426368: 3778kg (17%)
BTAJ7744554: 3630kg (17%)
UOHZ1913238: 2592kg (17%)
VRTZ1086311: 4022kg (17%)
VWZJ5039419: 4327kg (17%)
HTZU3009747: 4461kg (17%)
JKHU9702733: 2819kg (17%)
RNQU2425120: 3663kg (17%)
SYUZ2698580: 4338kg (17%)
MOVU2751472: 4889kg (17%)
KGSU6163531: 3590kg (17%)
ECKZ8956306: 3300kg (17%)
IIAZ0841011: 4281kg (16%)
DPOZ0567027: 1993kg (16%)
ZDHZ3945909: 2022kg (16%)
KGLJ6141969: 2710kg (16%)
NLAJ6320204: 3662kg (16%)
INKU2114596: 4503kg (16%)
MFGU2825343: 4457kg (16%)
LXSZ3709154: 4321kg (16%)
NDPU1382920: 4186kg (16%)
JGQU6936835: 3522kg (16%)
OGZJ4886772: 2495kg (16%)
FHCZ5898052: 3655kg (16%)
MLCZ4691149: 3675kg (16%)
VOUU0106639: 3129kg (16%)
EVTU1311476: 4468kg (16%)
QXOJ8052765: 3699kg (16%)
HXYU8003448: 3190kg (16%)
NCXZ1429622: 3316kg (16%)
PHZZ7027827: 4615kg (16%)
ZIFJ5239910: 4034kg (16%)
JUAZ3740100: 3732kg (16%)
RCQJ9201023: 2752kg (16%)
WFYZ3745676: 3157kg (15%)
TSIJ6207835: 3128kg (15%)
YCRU7591116: 2839kg (15%)
QVQJ3884856: 3676kg (15%)
KBWU3388155: 2994kg (15%)
HBVJ7271472: 4036kg (15%)
BCVZ5807028: 2389kg (15%)
BKSU8119314: 2526kg (15%)
LRIZ1511645: 3058kg (15%)
GSBJ3950795: 4404kg (15%)
OIUZ1565643: 2936kg (15%)
SJQU1476642: 3552kg (15%)
LIAJ4704924: 2679kg (15%)
CQQZ7503541: 3526kg (15%)
WZBJ8365970: 4017kg (15%)
INRJ0160918: 3293kg (15%)
OSHZ0298159: 2076kg (15%)
XEGU9217737: 4126kg (15%)
EHNJ7810190: 2118kg (15%)
YPVU7135953: 3524kg (15%)
BKNZ0789997: 3005kg (15%)
KQSU6165812: 2361kg (15%)
PNJZ7385537: 3403kg (15%)
UDUJ8416212: 4268kg (15%)
IOQJ4145947: 2033kg (15%)
AYYJ9654333: 2148kg (15%)
WQPZ4592769: 2291kg (15%)
GNXJ1724603: 3968kg (15%)
RLKJ0310877: 3456kg (15%)
EYDU3444977: 1736kg (14%)
SYLJ8380757: 2601kg (14%)
VEUJ0143841: 1530kg (14%)
IJUZ2967724: 1748kg (14%)
VVCJ0247719: 3083kg (14%)
FSKU2813169: 3453kg (14%)
ZCAZ1501271: 1595kg (14%)
EFUU3343652: 3518kg (14%)
XNBJ7073165: 2113kg (14%)
MPTZ9423588: 2724kg (14%)
HJYJ8428720: 1934kg (14%)
ZYCJ2326112: 2620kg (14%)
IRHU0425658: 3244kg (14%)
HKZJ1644027: 4259kg (14%)
YTDZ4643024: 2959kg (14%)
RGOJ6210651: 3678kg (14%)
QMDZ5597036: 2879kg (14%)
VJOZ3346079: 2826kg (14%)
FJSJ5737767: 3522kg (14%)
VCPJ3000321: 2365kg (14%)
SUUU4109130: 3454kg (14%)
HNBU7831244: 3500kg (14%)
QOAJ4148291: 4106kg (14%)
TYZZ3823202: 2929kg (14%)
OUCZ4909180: 2076kg (14%)
TWBZ8110043: 4026kg (14%)
CVGU5377149: 3472kg (14%)
ISCZ0178017: 3307kg (14%)
TFHJ0752148: 3064kg (14%)
XACZ3060480: 3522kg (14%)
GJZU9323245: 3766kg (14%)
OJAZ1354226: 3655kg (14%)
EDWJ8765504: 1722kg (14%)
MLTJ7916376: 3654kg (14%)
QDSJ3926185: 2951kg (14%)
XGVU6273748: 3536kg (14%)
PWYU3318343: 1854kg (14%)
BQSU3812328: 3107kg (14%)
CSEU9398065: 3108kg (14%)
WFUJ1572769: 2771kg (13%)
FRKZ7461925: 2202kg (13%)
MDXZ8869851: 3226kg (13%)
GYYU4735959: 3682kg (13%)
NLNJ2789047: 3081kg (13%)
JPBU2230789: 2078kg (13%)
CGKJ9513530: 1784kg (13%)
VDUZ6871541: 3171kg (13%)
CPXJ0427863: 2763kg (13%)
RFKU3775013: 3547kg (13%)
AVHJ4678069: 2215kg (13%)
RVXJ0017703: 3256kg (13%)
PTTZ9849236: 2663kg (13%)
HTEJ9409218: 3148kg (13%)
JAPZ4698562: 1446kg (13%)
CXLZ7727535: 3606kg (13%)
SLZU1003616: 2097kg (13%)
FBNZ0321150: 2597kg (13%)
MLNU5235605: 3732kg (13%)
GZDU5331154: 2679kg (13%)
EDVZ4206100: 1732kg (13%)
DOBZ3263474: 2919kg (13%)
QHMJ6121985: 3286kg (13%)
VMEZ1173388: 3734kg (13%)
BJYU4966110: 1819kg (12%)
DAOJ1306987: 1422kg (12%)
OPTZ2204489: 1876kg (12%)
ZVHU8327070: 2902kg (12%)
GCGZ0178806: 1642kg (12%)
GDPU0461743: 2536kg (12%)
VZBJ0784937: 3114kg (12%)
MMSU1005618: 2851kg (12%)
AQLJ2222596: 1760kg (12%)
SUYU7603963: 1830kg (12%)
SPOJ5025913: 2766kg (12%)
JDGJ8754537: 2030kg (12%)
DAZJ2304466: 1887kg (12%)
KRXJ9192086: 2486kg (12%)
JICJ0896883: 1593kg (12%)
PFWU4943999: 2173kg (12%)
LZQZ9863412: 1356kg (12%)
UKKU1591035: 1779kg (12%)
AMFU6593196: 2479kg (12%)
IYKJ0743632: 2682kg (12%)
KFIJ6673694: 2339kg (12%)
APAU1826107: 3146kg (12%)
IHEJ2895549: 2751kg (12%)
UBEJ5436989: 2849kg (12%)
UQNJ3278338: 1726kg (12%)
GTTZ1641379: 1818kg (12%)
SKQU9334212: 2812kg (12%)
YORU9930110: 2474kg (12%)
QKDU1345519: 3021kg (12%)
NOFU5001886: 3468kg (12%)
VVHZ0780132: 1568kg (12%)
OCGJ0850609: 2741kg (12%)
GDKU7870818: 2381kg (11%)
FWSU0776847: 2984kg (11%)
OSQZ0084203: 2214kg (11%)
CIGZ5613577: 1788kg (11%)
JQTJ8096794: 2692kg (11%)
KDYJ2272839: 2661kg (11%)
KLYJ9790088: 2352kg (11%)
RZIU2405255: 1907kg (11%)
LUKU4976926: 1904kg (11%)
GNFJ7187793: 2117kg (11%)
RMVZ3460882: 2427kg (11%)
ELTZ6261592: 1742kg (11%)
AWSZ7553919: 2373kg (11%)
XHOZ5659341: 2391kg (11%)
HBWJ5121521: 2406kg (11%)
GXXU8276825: 2928kg (11%)
HSXZ8940673: 2376kg (11%)
XMKJ1342332: 1874kg (11%)
LGWU4799929: 1716kg (11%)
PQSJ7421197: 1414kg (11%)
RKNJ2437921: 2229kg (11%)
VGOZ4323991: 1915kg (11%)
UEIZ0719198: 2332kg (11%)
PADU6419032: 2937kg (11%)
ZRIJ0012140: 1850kg (11%)
KGKZ0313672: 1976kg (11%)
